sample,source_sha256,source_snapshot
A1,f0778a63a47a844621cffa3a251345333e563105cabf708e5abe0af0dbce3a14,base_source_snapshot.txt
B,4fcfb4d23d1b12d2702df6e6d7e9743b4fde02b5518a68348ef57e7131f99017,candidate_source_snapshot.patch
A2,f0778a63a47a844621cffa3a251345333e563105cabf708e5abe0af0dbce3a14,base_source_snapshot.txt
