record_type,profile,phase,metric_or_op,device,value,unit,source,derivation,status,source_row_id,shape,dram_gbps,dram_pct,tflops,compute_pct,math_and_dtype,dram_sharded,input0_memory,block_w,subblock_h,subblock_w
provenance,,,final_selected_policy,,true,boolean,../perf_summary.json,final frozen-hash profiler rerun,verified,,,,,,,,,,,,
metric,sliding_attention,prefill,single_chip_optimized_latency,,96.36591200251132,ms,../../optimized_decoder/layer0_sliding_attention_seq1024_batch1_host_timings.json,direct host timing,selected,,,,,,,,,,,,
metric,sliding_attention,prefill,tp4_latency,,80.03024803474545,ms,../artifacts/layer0_sliding_attention_seq1024_batch1_host_timings.json,direct host timing,selected,,,,,,,,,,,,
metric,sliding_attention,prefill,speedup,,1.2041186222573455,x,../perf_summary.json,single-chip latency / TP4 latency,derived,,,,,,,,,,,,
metric,sliding_attention,prefill,tp_efficiency,,30.102965556433638,percent,../perf_summary.json,speedup / 4,derived,,,,,,,,,,,,
metric,full_attention,prefill,single_chip_optimized_latency,,107.63681400567293,ms,../../optimized_decoder/layer5_full_attention_seq1024_batch1_host_timings.json,direct host timing,selected,,,,,,,,,,,,
metric,full_attention,prefill,tp4_latency,,88.84324005339295,ms,../artifacts/layer5_full_attention_seq1024_batch1_host_timings.json,direct host timing,selected,,,,,,,,,,,,
metric,full_attention,prefill,speedup,,1.211536341324173,x,../perf_summary.json,single-chip latency / TP4 latency,derived,,,,,,,,,,,,
metric,full_attention,prefill,tp_efficiency,,30.288408533104327,percent,../perf_summary.json,speedup / 4,derived,,,,,,,,,,,,
metric,sliding_attention,decode,host_e2e,,760.7273291796446,us,../artifacts/layer0_sliding_attention_seq1024_batch1_host_timings.json,direct blocking trace timing,selected,,,,,,,,,,,,
metric,sliding_attention,decode,rows_over_three_replays,0,258,count,sliding_b1/ops.csv,no-merge row count,derived,,,,,,,,,,,,
metric,sliding_attention,decode,ops_per_replay,0,86,count,sliding_b1/ops.csv,no-merge row count / 3,derived,,,,,,,,,,,,
metric,sliding_attention,decode,device_op_sum,0,631.2596666666667,us,sliding_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,sliding_attention,decode,device_op_sum,1,633.008,us,sliding_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,sliding_attention,decode,device_op_sum,2,629.0749999999999,us,sliding_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,sliding_attention,decode,device_op_sum,3,631.5646666666667,us,sliding_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,sliding_attention,decode,device_ops_accounted,1,83.2108924866187,percent,../perf_summary.json,critical-device op sum / host e2e,derived,,,,,,,,,,,,
metric,sliding_attention,decode,critical_device_remainder,1,127.71932917964455,us,../perf_summary.json,host e2e - maximum device op sum,derived,,,,,,,,,,,,
metric,sliding_attention,decode,critical_device_remainder_share,1,16.789107513381293,percent,../perf_summary.json,critical remainder / host e2e,derived,,,,,,,,,,,,
metric,sliding_attention,decode,all_reduce_count_per_replay,0,3,count,sliding_b1/ops.csv,no-merge count / 3,derived,,,,,,,,,,,,
metric,sliding_attention,decode,all_reduce_sum,0,53.11333333333334,us,sliding_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,sliding_attention,decode,all_reduce_sum,1,56.238,us,sliding_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,sliding_attention,decode,all_reduce_sum,2,53.59033333333333,us,sliding_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,sliding_attention,decode,all_reduce_sum,3,52.97366666666667,us,sliding_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,sliding_attention,decode,all_reduce_share_of_device_ops,1,8.88424790839926,percent,../perf_summary.json,critical-device all-reduce sum / op sum,derived,,,,,,,,,,,,
metric,sliding_attention,decode,all_reduce_share_of_host_e2e,1,7.39266197530278,percent,../perf_summary.json,critical-device all-reduce sum / host e2e,derived,,,,,,,,,,,,
metric,full_attention,decode,host_e2e,,1077.322366957863,us,../artifacts/layer5_full_attention_seq1024_batch1_host_timings.json,direct blocking trace timing,selected,,,,,,,,,,,,
metric,full_attention,decode,rows_over_three_replays,0,261,count,full_b1/ops.csv,no-merge row count,derived,,,,,,,,,,,,
metric,full_attention,decode,ops_per_replay,0,87,count,full_b1/ops.csv,no-merge row count / 3,derived,,,,,,,,,,,,
metric,full_attention,decode,device_op_sum,0,945.9326666666666,us,full_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,full_attention,decode,device_op_sum,1,947.4513333333333,us,full_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,full_attention,decode,device_op_sum,2,942.862,us,full_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,full_attention,decode,device_op_sum,3,946.1990000000001,us,full_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,full_attention,decode,device_ops_accounted,1,87.9450164957348,percent,../perf_summary.json,critical-device op sum / host e2e,derived,,,,,,,,,,,,
metric,full_attention,decode,critical_device_remainder,1,129.8710336245298,us,../perf_summary.json,host e2e - maximum device op sum,derived,,,,,,,,,,,,
metric,full_attention,decode,critical_device_remainder_share,1,12.054983504265198,percent,../perf_summary.json,critical remainder / host e2e,derived,,,,,,,,,,,,
metric,full_attention,decode,all_reduce_count_per_replay,0,3,count,full_b1/ops.csv,no-merge count / 3,derived,,,,,,,,,,,,
metric,full_attention,decode,all_reduce_sum,0,52.011,us,full_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,full_attention,decode,all_reduce_sum,1,57.739000000000004,us,full_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,full_attention,decode,all_reduce_sum,2,54.85033333333333,us,full_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,full_attention,decode,all_reduce_sum,3,52.39066666666667,us,full_b1/ops.csv,no-merge device-time sum / 3,derived,,,,,,,,,,,,
metric,full_attention,decode,all_reduce_share_of_device_ops,1,6.09413887221648,percent,../perf_summary.json,critical-device all-reduce sum / op sum,derived,,,,,,,,,,,,
metric,full_attention,decode,all_reduce_share_of_host_e2e,1,5.35949143644377,percent,../perf_summary.json,critical-device all-reduce sum / host e2e,derived,,,,,,,,,,,,
metric,sliding_attention,prefill,overall_modeled_dram,,1.6,percent,sliding_b1/prefill.txt,standard merged tt-perf-report,modeled,,,,,,,,,,,,
metric,sliding_attention,prefill,overall_modeled_dram,,8,GB/s,sliding_b1/prefill.txt,standard merged tt-perf-report,modeled,,,,,,,,,,,,
metric,sliding_attention,decode,overall_modeled_dram,,11.3,percent,sliding_b1/decode.txt,standard merged tt-perf-report,modeled,,,,,,,,,,,,
metric,sliding_attention,decode,overall_modeled_dram,,58,GB/s,sliding_b1/decode.txt,standard merged tt-perf-report,modeled,,,,,,,,,,,,
metric,full_attention,prefill,overall_modeled_dram,,1.4,percent,full_b1/prefill.txt,standard merged tt-perf-report,modeled,,,,,,,,,,,,
metric,full_attention,prefill,overall_modeled_dram,,7,GB/s,full_b1/prefill.txt,standard merged tt-perf-report,modeled,,,,,,,,,,,,
metric,full_attention,decode,overall_modeled_dram,,7.0,percent,full_b1/decode.txt,standard merged tt-perf-report,modeled,,,,,,,,,,,,
metric,full_attention,decode,overall_modeled_dram,,36,GB/s,full_b1/decode.txt,standard merged tt-perf-report,modeled,,,,,,,,,,,,
roofline,sliding_attention,decode,MatmulDeviceOperation,0,50.835,us,sliding_b1/decode.csv,standard merged tt-perf-report,representative,6954,32 x 2816 x 2048,233.0211861906167,45.51195042785483,7.260720999311497,8.206652605196913,HiFi4 BF16 x BF16 => BF16,false,DEV_0_DRAM_INTERLEAVED,2,1,1
roofline,sliding_attention,decode,SparseMatmulDeviceOperation,1,106.979,us,sliding_b1/decode.csv,standard merged tt-perf-report,representative,6929,active=8/128 x 32 x 2816 x 384,80.86402004131651,15.79375391431963,5.175297282644257,15.598769298093462,LoFi BF16 x BFP8 => BF16,false,DEV_0_L1_INTERLEAVED,44,1,2
roofline,sliding_attention,decode,MatmulDeviceOperation,0,24.927,us,sliding_b1/decode.csv,standard merged tt-perf-report,representative,7320,32 x 1024 x 2816,231.36229790989688,45.187948810526734,7.4035935331167,66.9451093489285,HiFi4 BF16 x BF16 => BF16,true,DEV_0_L1_WIDTH_SHARDED,2,,
roofline,full_attention,decode,MatmulDeviceOperation,3,64.653,us,full_b1/decode.csv,standard merged tt-perf-report,representative,7088,32 x 2816 x 3072,139.6313241458246,27.271742997231367,8.56337877592687,1.6131702519031799,LoFi BF16 x BFP8 => BF16,false,DEV_0_DRAM_INTERLEAVED,2,1,1
roofline,full_attention,decode,MatmulDeviceOperation,0,20.384,us,full_b1/decode.csv,standard merged tt-perf-report,representative,7025,32 x 2048 x 2816,282.9262166405024,55.25902668759812,18.107277864992152,40.93261236118379,LoFi BF16 x BFP8 => BF16,true,DEV_0_L1_WIDTH_SHARDED,4,,
provenance,,,multichip_decoder.py,,34225bd3fa03639ecbc9311264e420d7a70c99772e6991f339cbe7107dca6f76,sha256,../../../tt/multichip_decoder.py,sha256sum,immutable,,,,,,,,,,,,
provenance,,,test_multichip_decoder.py,,8338455c27a473c506486a1f1c4c864699ebfc234c018e540e0606bdf90c1ba8,sha256,../../../tests/test_multichip_decoder.py,sha256sum,immutable,,,,,,,,,,,,
provenance,sliding_attention,prefill,host_timings,,3168b38e90e4ce9b9608d2fd312a1841f2af6411dd6fb9db3a962a8affeebb6e,sha256,../artifacts/layer0_sliding_attention_seq1024_batch1_host_timings.json,sha256sum,selected,,,,,,,,,,,,
provenance,full_attention,prefill,host_timings,,cb464b65563a401f04b2b9a480c361aaf9e8011f5be5cd46b1a0b78a1eeb04d1,sha256,../artifacts/layer5_full_attention_seq1024_batch1_host_timings.json,sha256sum,selected,,,,,,,,,,,,
provenance,sliding_attention,decode,raw_ops,,3854f4e65499148d34ab5871f20aefad03b501151abb5609e83034807f58918c,sha256,sliding_b1/ops.csv,sha256sum,selected local input,,,,,,,,,,,,
provenance,full_attention,decode,raw_ops,,8bd2592fe7c0ccf2e9604993f76cfd2b76588d6419e375eda3b9c3b663fc25b2,sha256,full_b1/ops.csv,sha256sum,selected local input,,,,,,,,,,,,
