Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_PREFILL_layer0_sliding_attention_seq1024_batch1'.
Using operations until 'PERF_PREFILL_layer0_sliding_attention_seq1024_batch1_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  796    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  797    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  798    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  799    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  800    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  801    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  802    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  803    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  804    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  805    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  806    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  807    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  808    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  809    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  810    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  811    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  812    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  813    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  814    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
  815    0.0 %         SliceDeviceOperation                                              1         1 μs          6 μs     88                                                        BF16 => BF16
