config_id,profile,dtype_policy,compute_fidelity_policy,top1,top5,top100,token_count,prefill_top1,prefill_top5,prefill_top100,ttft_ms,teacher_forcing_decode_t_s_u,teacher_forcing_decode_raw_t_s_u,ranking_samples_t_s_u,teacher_forcing_warmed_decode_t_s_u,trace_replays,trace_verified,measurement_regime,command,hardware,mesh,reference,reference_sha256,pass_fail,selected,runtime_consumption_evidence,post_selection_token_out,artifact
activation_residual_bfp8,P150x4,"{""activation_residual"": {""activation_dtype"": ""BFP8_B"", ""residual_dtype"": ""BFP8_B""}, ""ccl"": {""dtype"": ""BF16""}, ""decode_weight_groups"": {""packed_mlp_gate_up"": ""BFP8_B""}, ""kv_cache"": {""decode_update_dtype"": ""BF16"", ""dtype"": ""BF16""}, ""layer_exceptions"": [{""layers"": [5, 11, 17, 23, 29], ""overrides"": {""weight_groups"": {""attention_qkv_o"": ""BFP8_B"", ""dense_down"": ""BF16"", ""dense_gate_up"": ""BF16""}}}], ""logits_sampling"": {""greedy"": ""chunked_local_topk32_then_semantic_k1_on_sharded_logits"", ""logits_dtype"": ""BF16"", ""sampling_parameter_dtype"": ""BF16"", ""token_dtype"": ""UINT32""}, ""weight_groups"": {""attention_qkv_o"": ""BF16"", ""dense_down"": ""BFP8_B"", ""dense_gate_up"": ""BFP8_B"", ""embedding_lm_head"": ""BFP8_B"", ""experts_down"": ""BFP8_B"", ""experts_gate_up"": ""BFP8_B"", ""norms"": ""BF16"", ""router_and_routing"": ""FP32""}}","{""dense_mlp"": ""LOFI"", ""expert_down"": ""LOFI"", ""expert_gate_up"": ""LOFI"", ""full_attention_decode"": ""HIFI2"", ""full_attention_prefill"": ""HIFI2"", ""sliding_attention"": ""HIFI4""}",0.05000000074505806,0.05999999865889549,0.27000001072883606,100,0.019999999552965164,0.03999999910593033,0.23999999463558197,6469.738168991171,7.901862026039336,7.901862026039336,[],47.3752867263707,99,True,AIME24 chat-template reference; 100 tokens; traced teacher forcing; B1; generator wall-clock including required host teacher-token feedback,"cd /home/hous/dev/tt-metal && env HF_HOME=/home/hous/.cache/huggingface HF_HUB_OFFLINE=1 TTNN_CONFIG_OVERRIDES='{""throw_exception_on_fallback"":true}' GEMMA4_PRECISION_CONFIG=models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/configs/activation_residual_bfp8.json GEMMA4_FULL_MODEL_PROBE=1 GEMMA4_FULL_STACK_PROBE=1 GEMMA4_READINESS_REFERENCE=models/autoports/google_gemma_4_26b_a4b_it/doc/full_model/artifacts/gemma4_aime24_chat.refpt GEMMA4_FULL_MODEL_PROBE_OUTPUT_DIR=models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/artifacts/activation_residual_bfp8 python_env/bin/pytest -q -s 'models/autoports/google_gemma_4_26b_a4b_it/tests/test_full_model_contract.py::test_reduced_real_weight_full_model_probe[blackhole-p150x4]' --junitxml=models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/artifacts/activation_residual_bfp8/junit.xml",P300C Blackhole,"[1, 4]",/home/hous/dev/tt-metal/models/autoports/google_gemma_4_26b_a4b_it/doc/full_model/artifacts/gemma4_aime24_chat.refpt,a7cad8aabafa0bff94a8b38f430d3468de9ca1d292b56cc15a7f4f19b844b5f8,fail,False,"{""activation_dtype"": ""BFP8_B"", ""ccl_dtype"": ""BF16"", ""config_id"": ""activation_residual_bfp8"", ""embedding_storage"": ""bf16_row_major"", ""embedding_weight_dtype"": ""BF16"", ""kv_cache_dtype"": ""BF16"", ""kv_decode_update_dtype"": ""BF16"", ""layer_policy_signatures"": [{""activation"": ""BFP8_B"", ""attention_weight"": ""BF16"", ""decode_attention_fidelity"": ""HIFI4"", ""dense_down_weight"": ""BFP8_B"", ""dense_gate_up_weight"": ""BFP8_B"", ""dense_mlp_fidelity"": ""LOFI"", ""expert_down_fidelity"": ""LOFI"", ""expert_down_weight"": ""BFP8_B"", ""expert_gate_fidelity"": ""LOFI"", ""expert_gate_up_weight"": ""BFP8_B"", ""layers"": [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28], ""prefill_attention_fidelity"": ""HIFI4"", ""router_weight"": ""FP32""}, {""activation"": ""BFP8_B"", ""attention_weight"": ""BFP8_B"", ""decode_attention_fidelity"": ""HIFI2"", ""dense_down_weight"": ""BF16"", ""dense_gate_up_weight"": ""BF16"", ""dense_mlp_fidelity"": ""LOFI"", ""expert_down_fidelity"": ""LOFI"", ""expert_down_weight"": ""BFP8_B"", ""expert_gate_fidelity"": ""LOFI"", ""expert_gate_up_weight"": ""BFP8_B"", ""layers"": [5, 11, 17, 23, 29], ""prefill_attention_fidelity"": ""HIFI2"", ""router_weight"": ""FP32""}], ""lm_head_weight_dtype"": ""BFP8_B"", ""logits_dtype"": ""BF16"", ""precision_config_path"": ""/home/hous/dev/tt-metal/models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/configs/activation_residual_bfp8.json"", ""profile"": ""P150x4"", ""residual_dtype"": ""BFP8_B"", ""sampling"": {""greedy"": ""chunked_local_topk32_then_semantic_k1_on_sharded_logits"", ""logits_dtype"": ""BF16"", ""sampling_parameter_dtype"": ""BF16"", ""token_dtype"": ""UINT32""}}",,artifacts/activation_residual_bfp8/readiness_tp4.json
canonical_baseline,P150,"{""activation_residual"": {""activation_dtype"": ""BF16"", ""residual_dtype"": ""BF16""}, ""ccl"": {""dtype"": ""BF16""}, ""decode_weight_groups"": {""packed_mlp_gate_up"": ""BFP8_B""}, ""kv_cache"": {""decode_update_dtype"": ""BF16"", ""dtype"": ""BF16""}, ""layer_exceptions"": [{""layers"": [5, 11, 17, 23, 29], ""overrides"": {""weight_groups"": {""attention_qkv_o"": ""BFP8_B"", ""dense_down"": ""BF16"", ""dense_gate_up"": ""BF16"", ""experts_gate_up"": ""BFP4_B""}}}], ""logits_sampling"": {""greedy"": ""chunked_local_topk32_then_semantic_k1_on_sharded_logits"", ""logits_dtype"": ""BF16"", ""sampling_parameter_dtype"": ""BF16"", ""token_dtype"": ""UINT32""}, ""weight_groups"": {""attention_qkv_o"": ""BF16"", ""dense_down"": ""BFP8_B"", ""dense_gate_up"": ""BFP8_B"", ""embedding_lm_head"": ""BFP8_B"", ""experts_down"": ""BFP8_B"", ""experts_gate_up"": ""BFP8_B"", ""norms"": ""BF16"", ""router_and_routing"": ""FP32""}}","{""dense_mlp"": ""LOFI"", ""expert_down"": ""LOFI"", ""expert_gate_up"": ""LOFI"", ""full_attention_decode"": ""HIFI2"", ""full_attention_prefill"": ""HIFI2"", ""sliding_attention"": ""HIFI4""}",0.9599999785423279,1.0,1.0,100,0.949999988079071,1.0,1.0,348.1151380110532,34.522311666636,34.522311666636,[],37.0117669385112,99,True,AIME24 chat-template reference; 100 tokens; traced teacher forcing; B1; generator wall-clock including required host teacher-token feedback,"cd /home/hous/dev/tt-metal && env HF_HOME=/home/hous/.cache/huggingface HF_HUB_OFFLINE=1 TTNN_CONFIG_OVERRIDES='{""throw_exception_on_fallback"":true}' GEMMA4_PRECISION_CONFIG=models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/configs/canonical_baseline.json GEMMA4_FULL_MODEL_PROBE=1 GEMMA4_FULL_STACK_PROBE=1 GEMMA4_READINESS_REFERENCE=models/autoports/google_gemma_4_26b_a4b_it/doc/full_model/artifacts/gemma4_aime24_chat.refpt GEMMA4_FULL_MODEL_PROBE_OUTPUT_DIR=models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/artifacts/canonical_baseline python_env/bin/pytest -q -s 'models/autoports/google_gemma_4_26b_a4b_it/tests/test_full_model_contract.py::test_reduced_real_weight_full_model_probe[blackhole-p150]' --junitxml=models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/artifacts/canonical_baseline/junit.xml",P300C Blackhole,"[1, 1]",/home/hous/dev/tt-metal/models/autoports/google_gemma_4_26b_a4b_it/doc/full_model/artifacts/gemma4_aime24_chat.refpt,a7cad8aabafa0bff94a8b38f430d3468de9ca1d292b56cc15a7f4f19b844b5f8,pass,False,"{""activation_dtype"": ""BF16"", ""ccl_dtype"": ""BF16"", ""config_id"": ""canonical_baseline"", ""embedding_storage"": ""bf16_row_major"", ""embedding_weight_dtype"": ""BF16"", ""kv_cache_dtype"": ""BF16"", ""kv_decode_update_dtype"": ""BF16"", ""layer_policy_signatures"": [{""activation"": ""BF16"", ""attention_weight"": ""BF16"", ""decode_attention_fidelity"": ""HIFI4"", ""dense_down_weight"": ""BFP8_B"", ""dense_gate_up_weight"": ""BFP8_B"", ""dense_mlp_fidelity"": ""LOFI"", ""expert_down_fidelity"": ""LOFI"", ""expert_down_weight"": ""BFP8_B"", ""expert_gate_fidelity"": ""LOFI"", ""expert_gate_up_weight"": ""BFP8_B"", ""layers"": [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28], ""prefill_attention_fidelity"": ""HIFI4"", ""router_weight"": ""FP32""}, {""activation"": ""BF16"", ""attention_weight"": ""BFP8_B"", ""decode_attention_fidelity"": ""HIFI2"", ""dense_down_weight"": ""BF16"", ""dense_gate_up_weight"": ""BF16"", ""dense_mlp_fidelity"": ""LOFI"", ""expert_down_fidelity"": ""LOFI"", ""expert_down_weight"": ""BFP8_B"", ""expert_gate_fidelity"": ""LOFI"", ""expert_gate_up_weight"": ""BFP4_B"", ""layers"": [5, 11, 17, 23, 29], ""prefill_attention_fidelity"": ""HIFI2"", ""router_weight"": ""FP32""}], ""lm_head_weight_dtype"": ""BFP8_B"", ""logits_dtype"": ""BF16"", ""precision_config_path"": ""/home/hous/dev/tt-metal/models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/configs/canonical_baseline.json"", ""profile"": ""P150"", ""residual_dtype"": ""BF16"", ""sampling"": {""greedy"": ""chunked_local_topk32_then_semantic_k1_on_sharded_logits"", ""logits_dtype"": ""BF16"", ""sampling_parameter_dtype"": ""BF16"", ""token_dtype"": ""UINT32""}}",,artifacts/canonical_baseline/readiness_tp1.json
canonical_baseline,P150x2,"{""activation_residual"": {""activation_dtype"": ""BF16"", ""residual_dtype"": ""BF16""}, ""ccl"": {""dtype"": ""BF16""}, ""decode_weight_groups"": {""packed_mlp_gate_up"": ""BFP8_B""}, ""kv_cache"": {""decode_update_dtype"": ""BF16"", ""dtype"": ""BF16""}, ""layer_exceptions"": [{""layers"": [5, 11, 17, 23, 29], ""overrides"": {""weight_groups"": {""attention_qkv_o"": ""BFP8_B"", ""dense_down"": ""BF16"", ""dense_gate_up"": ""BF16""}}}], ""logits_sampling"": {""greedy"": ""chunked_local_topk32_then_semantic_k1_on_sharded_logits"", ""logits_dtype"": ""BF16"", ""sampling_parameter_dtype"": ""BF16"", ""token_dtype"": ""UINT32""}, ""weight_groups"": {""attention_qkv_o"": ""BF16"", ""dense_down"": ""BFP8_B"", ""dense_gate_up"": ""BFP8_B"", ""embedding_lm_head"": ""BFP8_B"", ""experts_down"": ""BFP8_B"", ""experts_gate_up"": ""BFP8_B"", ""norms"": ""BF16"", ""router_and_routing"": ""FP32""}}","{""dense_mlp"": ""LOFI"", ""expert_down"": ""LOFI"", ""expert_gate_up"": ""LOFI"", ""full_attention_decode"": ""HIFI2"", ""full_attention_prefill"": ""HIFI2"", ""sliding_attention"": ""HIFI4""}",0.9599999785423279,1.0,1.0,100,0.9599999785423279,1.0,1.0,280.5573670193553,41.47194984090595,41.47194984090595,[],46.09286784275306,99,True,AIME24 chat-template reference; 100 tokens; traced teacher forcing; B1; generator wall-clock including required host teacher-token feedback,"cd /home/hous/dev/tt-metal && env HF_HOME=/home/hous/.cache/huggingface HF_HUB_OFFLINE=1 TTNN_CONFIG_OVERRIDES='{""throw_exception_on_fallback"":true}' GEMMA4_PRECISION_CONFIG=models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/configs/canonical_baseline.json GEMMA4_FULL_MODEL_PROBE=1 GEMMA4_FULL_STACK_PROBE=1 GEMMA4_READINESS_REFERENCE=models/autoports/google_gemma_4_26b_a4b_it/doc/full_model/artifacts/gemma4_aime24_chat.refpt GEMMA4_FULL_MODEL_PROBE_OUTPUT_DIR=models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/artifacts/canonical_baseline python_env/bin/pytest -q -s 'models/autoports/google_gemma_4_26b_a4b_it/tests/test_full_model_contract.py::test_reduced_real_weight_full_model_probe[blackhole-p150x2]' --junitxml=models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/artifacts/canonical_baseline/junit.xml",P300C Blackhole,"[1, 2]",/home/hous/dev/tt-metal/models/autoports/google_gemma_4_26b_a4b_it/doc/full_model/artifacts/gemma4_aime24_chat.refpt,a7cad8aabafa0bff94a8b38f430d3468de9ca1d292b56cc15a7f4f19b844b5f8,pass,False,"{""activation_dtype"": ""BF16"", ""ccl_dtype"": ""BF16"", ""config_id"": ""canonical_baseline"", ""embedding_storage"": ""bf16_row_major"", ""embedding_weight_dtype"": ""BF16"", ""kv_cache_dtype"": ""BF16"", ""kv_decode_update_dtype"": ""BF16"", ""layer_policy_signatures"": [{""activation"": ""BF16"", ""attention_weight"": ""BF16"", ""decode_attention_fidelity"": ""HIFI4"", ""dense_down_weight"": ""BFP8_B"", ""dense_gate_up_weight"": ""BFP8_B"", ""dense_mlp_fidelity"": ""LOFI"", ""expert_down_fidelity"": ""LOFI"", ""expert_down_weight"": ""BFP8_B"", ""expert_gate_fidelity"": ""LOFI"", ""expert_gate_up_weight"": ""BFP8_B"", ""layers"": [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28], ""prefill_attention_fidelity"": ""HIFI4"", ""router_weight"": ""FP32""}, {""activation"": ""BF16"", ""attention_weight"": ""BFP8_B"", ""decode_attention_fidelity"": ""HIFI2"", ""dense_down_weight"": ""BF16"", ""dense_gate_up_weight"": ""BF16"", ""dense_mlp_fidelity"": ""LOFI"", ""expert_down_fidelity"": ""LOFI"", ""expert_down_weight"": ""BFP8_B"", ""expert_gate_fidelity"": ""LOFI"", ""expert_gate_up_weight"": ""BFP8_B"", ""layers"": [5, 11, 17, 23, 29], ""prefill_attention_fidelity"": ""HIFI2"", ""router_weight"": ""FP32""}], ""lm_head_weight_dtype"": ""BFP8_B"", ""logits_dtype"": ""BF16"", ""precision_config_path"": ""/home/hous/dev/tt-metal/models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/configs/canonical_baseline.json"", ""profile"": ""P150x2"", ""residual_dtype"": ""BF16"", ""sampling"": {""greedy"": ""chunked_local_topk32_then_semantic_k1_on_sharded_logits"", ""logits_dtype"": ""BF16"", ""sampling_parameter_dtype"": ""BF16"", ""token_dtype"": ""UINT32""}}",,artifacts/canonical_baseline/readiness_tp2.json
canonical_baseline,P150x4,"{""activation_residual"": {""activation_dtype"": ""BF16"", ""residual_dtype"": ""BF16""}, ""ccl"": {""dtype"": ""BF16""}, ""decode_weight_groups"": {""packed_mlp_gate_up"": ""BFP8_B""}, ""kv_cache"": {""decode_update_dtype"": ""BF16"", ""dtype"": ""BF16""}, ""layer_exceptions"": [{""layers"": [5, 11, 17, 23, 29], ""overrides"": {""weight_groups"": {""attention_qkv_o"": ""BFP8_B"", ""dense_down"": ""BF16"", ""dense_gate_up"": ""BF16""}}}], ""logits_sampling"": {""greedy"": ""chunked_local_topk32_then_semantic_k1_on_sharded_logits"", ""logits_dtype"": ""BF16"", ""sampling_parameter_dtype"": ""BF16"", ""token_dtype"": ""UINT32""}, ""weight_groups"": {""attention_qkv_o"": ""BF16"", ""dense_down"": ""BFP8_B"", ""dense_gate_up"": ""BFP8_B"", ""embedding_lm_head"": ""BFP8_B"", ""experts_down"": ""BFP8_B"", ""experts_gate_up"": ""BFP8_B"", ""norms"": ""BF16"", ""router_and_routing"": ""FP32""}}","{""dense_mlp"": ""LOFI"", ""expert_down"": ""LOFI"", ""expert_gate_up"": ""LOFI"", ""full_attention_decode"": ""HIFI2"", ""full_attention_prefill"": ""HIFI2"", ""sliding_attention"": ""HIFI4""}",0.9399999976158142,1.0,1.0,100,0.9700000286102295,1.0,1.0,290.2691160561517,43.43146199115262,43.43146199115262,[],49.17359107226587,99,True,AIME24 chat-template reference; 100 tokens; traced teacher forcing; B1; generator wall-clock including required host teacher-token feedback,"cd /home/hous/dev/tt-metal && env HF_HOME=/home/hous/.cache/huggingface HF_HUB_OFFLINE=1 TTNN_CONFIG_OVERRIDES='{""throw_exception_on_fallback"":true}' GEMMA4_PRECISION_CONFIG=models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/configs/canonical_baseline.json GEMMA4_FULL_MODEL_PROBE=1 GEMMA4_FULL_STACK_PROBE=1 GEMMA4_READINESS_REFERENCE=models/autoports/google_gemma_4_26b_a4b_it/doc/full_model/artifacts/gemma4_aime24_chat.refpt GEMMA4_FULL_MODEL_PROBE_OUTPUT_DIR=models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/artifacts/canonical_baseline python_env/bin/pytest -q -s 'models/autoports/google_gemma_4_26b_a4b_it/tests/test_full_model_contract.py::test_reduced_real_weight_full_model_probe[blackhole-p150x4]' --junitxml=models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/artifacts/canonical_baseline/junit.xml",P300C Blackhole,"[1, 4]",/home/hous/dev/tt-metal/models/autoports/google_gemma_4_26b_a4b_it/doc/full_model/artifacts/gemma4_aime24_chat.refpt,a7cad8aabafa0bff94a8b38f430d3468de9ca1d292b56cc15a7f4f19b844b5f8,pass,False,"{""activation_dtype"": ""BF16"", ""ccl_dtype"": ""BF16"", ""config_id"": ""canonical_baseline"", ""embedding_storage"": ""bf16_row_major"", ""embedding_weight_dtype"": ""BF16"", ""kv_cache_dtype"": ""BF16"", ""kv_decode_update_dtype"": ""BF16"", ""layer_policy_signatures"": [{""activation"": ""BF16"", ""attention_weight"": ""BF16"", ""decode_attention_fidelity"": ""HIFI4"", ""dense_down_weight"": ""BFP8_B"", ""dense_gate_up_weight"": ""BFP8_B"", ""dense_mlp_fidelity"": ""LOFI"", ""expert_down_fidelity"": ""LOFI"", ""expert_down_weight"": ""BFP8_B"", ""expert_gate_fidelity"": ""LOFI"", ""expert_gate_up_weight"": ""BFP8_B"", ""layers"": [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28], ""prefill_attention_fidelity"": ""HIFI4"", ""router_weight"": ""FP32""}, {""activation"": ""BF16"", ""attention_weight"": ""BFP8_B"", ""decode_attention_fidelity"": ""HIFI2"", ""dense_down_weight"": ""BF16"", ""dense_gate_up_weight"": ""BF16"", ""dense_mlp_fidelity"": ""LOFI"", ""expert_down_fidelity"": ""LOFI"", ""expert_down_weight"": ""BFP8_B"", ""expert_gate_fidelity"": ""LOFI"", ""expert_gate_up_weight"": ""BFP8_B"", ""layers"": [5, 11, 17, 23, 29], ""prefill_attention_fidelity"": ""HIFI2"", ""router_weight"": ""FP32""}], ""lm_head_weight_dtype"": ""BFP8_B"", ""logits_dtype"": ""BF16"", ""precision_config_path"": ""/home/hous/dev/tt-metal/models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/configs/canonical_baseline.json"", ""profile"": ""P150x4"", ""residual_dtype"": ""BF16"", ""sampling"": {""greedy"": ""chunked_local_topk32_then_semantic_k1_on_sharded_logits"", ""logits_dtype"": ""BF16"", ""sampling_parameter_dtype"": ""BF16"", ""token_dtype"": ""UINT32""}}",,artifacts/canonical_baseline/readiness_tp4.json
ccl_bfp8,P150x4,"{""activation_residual"": {""activation_dtype"": ""BF16"", ""residual_dtype"": ""BF16""}, ""ccl"": {""dtype"": ""BFP8_B""}, ""decode_weight_groups"": {""packed_mlp_gate_up"": ""BFP8_B""}, ""kv_cache"": {""decode_update_dtype"": ""BF16"", ""dtype"": ""BF16""}, ""layer_exceptions"": [{""layers"": [5, 11, 17, 23, 29], ""overrides"": {""weight_groups"": {""attention_qkv_o"": ""BFP8_B"", ""dense_down"": ""BF16"", ""dense_gate_up"": ""BF16""}}}], ""logits_sampling"": {""greedy"": ""chunked_local_topk32_then_semantic_k1_on_sharded_logits"", ""logits_dtype"": ""BF16"", ""sampling_parameter_dtype"": ""BF16"", ""token_dtype"": ""UINT32""}, ""weight_groups"": {""attention_qkv_o"": ""BF16"", ""dense_down"": ""BFP8_B"", ""dense_gate_up"": ""BFP8_B"", ""embedding_lm_head"": ""BFP8_B"", ""experts_down"": ""BFP8_B"", ""experts_gate_up"": ""BFP8_B"", ""norms"": ""BF16"", ""router_and_routing"": ""FP32""}}","{""dense_mlp"": ""LOFI"", ""expert_down"": ""LOFI"", ""expert_gate_up"": ""LOFI"", ""full_attention_decode"": ""HIFI2"", ""full_attention_prefill"": ""HIFI2"", ""sliding_attention"": ""HIFI4""}",0.9300000071525574,1.0,1.0,100,0.9700000286102295,1.0,1.0,2322.037770994939,42.11346153173163,42.11346153173163,[],48.33384404393005,99,True,AIME24 chat-template reference; 100 tokens; traced teacher forcing; B1; generator wall-clock including required host teacher-token feedback,"cd /home/hous/dev/tt-metal && env HF_HOME=/home/hous/.cache/huggingface HF_HUB_OFFLINE=1 TTNN_CONFIG_OVERRIDES='{""throw_exception_on_fallback"":true}' GEMMA4_PRECISION_CONFIG=models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/configs/ccl_bfp8.json GEMMA4_FULL_MODEL_PROBE=1 GEMMA4_FULL_STACK_PROBE=1 GEMMA4_READINESS_REFERENCE=models/autoports/google_gemma_4_26b_a4b_it/doc/full_model/artifacts/gemma4_aime24_chat.refpt GEMMA4_FULL_MODEL_PROBE_OUTPUT_DIR=models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/artifacts/ccl_bfp8 python_env/bin/pytest -q -s 'models/autoports/google_gemma_4_26b_a4b_it/tests/test_full_model_contract.py::test_reduced_real_weight_full_model_probe[blackhole-p150x4]' --junitxml=models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/artifacts/ccl_bfp8/junit.xml",P300C Blackhole,"[1, 4]",/home/hous/dev/tt-metal/models/autoports/google_gemma_4_26b_a4b_it/doc/full_model/artifacts/gemma4_aime24_chat.refpt,a7cad8aabafa0bff94a8b38f430d3468de9ca1d292b56cc15a7f4f19b844b5f8,pass,False,"{""activation_dtype"": ""BF16"", ""ccl_dtype"": ""BFP8_B"", ""config_id"": ""ccl_bfp8"", ""embedding_storage"": ""bf16_row_major"", ""embedding_weight_dtype"": ""BF16"", ""kv_cache_dtype"": ""BF16"", ""kv_decode_update_dtype"": ""BF16"", ""layer_policy_signatures"": [{""activation"": ""BF16"", ""attention_weight"": ""BF16"", ""decode_attention_fidelity"": ""HIFI4"", ""dense_down_weight"": ""BFP8_B"", ""dense_gate_up_weight"": ""BFP8_B"", ""dense_mlp_fidelity"": ""LOFI"", ""expert_down_fidelity"": ""LOFI"", ""expert_down_weight"": ""BFP8_B"", ""expert_gate_fidelity"": ""LOFI"", ""expert_gate_up_weight"": ""BFP8_B"", ""layers"": [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28], ""prefill_attention_fidelity"": ""HIFI4"", ""router_weight"": ""FP32""}, {""activation"": ""BF16"", ""attention_weight"": ""BFP8_B"", ""decode_attention_fidelity"": ""HIFI2"", ""dense_down_weight"": ""BF16"", ""dense_gate_up_weight"": ""BF16"", ""dense_mlp_fidelity"": ""LOFI"", ""expert_down_fidelity"": ""LOFI"", ""expert_down_weight"": ""BFP8_B"", ""expert_gate_fidelity"": ""LOFI"", ""expert_gate_up_weight"": ""BFP8_B"", ""layers"": [5, 11, 17, 23, 29], ""prefill_attention_fidelity"": ""HIFI2"", ""router_weight"": ""FP32""}], ""lm_head_weight_dtype"": ""BFP8_B"", ""logits_dtype"": ""BF16"", ""precision_config_path"": ""/home/hous/dev/tt-metal/models/autoports/google_gemma_4_26b_a4b_it/doc/datatype_sweep/configs/ccl_bfp8.json"", ""profile"": ""P150x4"", ""residual_dtype"": ""BF16"", ""sampling"": {""greedy"": ""chunked_local_topk32_then_semantic_k1_on_sharded_logits"", ""logits_dtype"": ""BF16"", ""sampling_parameter_dtype"": ""BF16"", ""token_dtype"": ""UINT32""}}",,artifacts/ccl_bfp8/readiness_tp4.json
