2026-08-17 05:16:49.673 | INFO     | __main__:main:203 - Setting profiler artifacts folder to models/autoports/ornith_ai_ornith_1_0_35b/doc/optimized_full_model/tracy/prefill.capture
2026-08-17 05:16:49.674 | INFO     | __main__:main:412 - Using port 8086
2026-08-17 05:16:49.674 | INFO     | tracy:run_report_setup:91 - Verifying tracy profiling tools
2026-08-17 05:16:49.676 | INFO     | tracy:run_report_setup:112 - Capture command: ('/home/ttuser/dev/ornith/tt-metal/build/tools/profiler/bin/tracy-capture -o models/autoports/ornith_ai_ornith_1_0_35b/doc/optimized_full_model/tracy/prefill.capture/.logs/tracy_profile_log_host.tracy -f -p 8086',)
Connecting to 127.0.0.1:8086...2026-08-17 05:16:49.681 | INFO     | __main__:main:430 - Test process started
2026-08-17 05:16:50.382 | INFO     | __main__:main:203 - Setting profiler artifacts folder to models/autoports/ornith_ai_ornith_1_0_35b/doc/optimized_full_model/tracy/prefill.capture
2026-08-17 05:16:50.616 | DEBUG    | ttnn:<module>:78 - Initial ttnn.CONFIG:
Config{cache_path=/home/ttuser/.cache/ttnn,model_cache_path=/home/ttuser/.cache/ttnn/models,tmp_dir=/tmp/ttnn,enable_model_cache=false,enable_fast_runtime_mode=true,validate_program_args=false,throw_exception_on_fallback=false,enable_logging=false,enable_graph_report=false,enable_graph_python_stack_traces=false,enable_detailed_buffer_report=false,enable_detailed_tensor_report=false,enable_comparison_mode=false,comparison_mode_should_raise_exception=false,comparison_mode_pcc=0.9999,root_report_path=generated/ttnn/reports,report_name=std::nullopt,std::nullopt}
2026-08-17 05:16:53.942 | info     |           Metal | Fabric initialized on Device 2 (device.cpp:550)
2026-08-17 05:16:53.942 | info     |           Metal | Fabric initialized on Device 3 (device.cpp:550)
2026-08-17 05:16:53.942 | info     |           Metal | Fabric initialized on 4 devices (fabric_firmware_initializer.cpp:444)
2026-08-17 05:16:53.942 | info     |           Metal | Fabric Initialized with config FabricConfig::FABRIC_1D_RING (fabric_firmware_initializer.cpp:313)
Fetching 30 files:   0%|          | 0/30 [00:00<?, ?it/s]Fetching 30 files: 100%|██████████| 30/30 [00:00<00:00, 37854.73it/s]
2026-08-17 05:16:55.747 | INFO     | models.autoports.ornith_ai_ornith_1_0_35b.tt.model:from_pretrained:543 - building OrnithModel: 2 layer(s) [0, 3] tp=4 max_context=262144 policy=optimized vocab=248320->249856
2026-08-17 05:16:55.948 | info     |           Metal | Pinned source memory start address 0x7a9957a23aa8 must be aligned 64 B (dispatch.cpp:1192)
2026-08-17 05:16:55.948 | info     |           Metal | Pinned source memory start address 0x7a9957a23aa8 must be aligned 64 B (dispatch.cpp:1192)
2026-08-17 05:16:55.948 | info     |           Metal | Pinned source memory start address 0x7a9957a23aa8 must be aligned 64 B (dispatch.cpp:1192)
2026-08-17 05:16:55.948 | info     |           Metal | Pinned source memory start address 0x7a9957a23aa8 must be aligned 64 B (dispatch.cpp:1192)
2026-08-17 05:16:56.213 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 80, dfb size: 32, return value: 112 (dataflow_buffer.cpp:1695)
2026-08-17 05:16:56.213 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 0, dfb size: 0, return value: 0 (dataflow_buffer.cpp:1695)
2026-08-17 05:16:56.213 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 0, dfb size: 0, return value: 0 (dataflow_buffer.cpp:1695)
2026-08-17 05:17:03.440 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 80, dfb size: 32, return value: 112 (dataflow_buffer.cpp:1695)
2026-08-17 05:17:03.440 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 0, dfb size: 0, return value: 0 (dataflow_buffer.cpp:1695)
2026-08-17 05:17:03.440 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 0, dfb size: 0, return value: 0 (dataflow_buffer.cpp:1695)
2026-08-17 05:17:03.534 | INFO     | models.autoports.ornith_ai_ornith_1_0_35b.tt.model:from_pretrained:646 -   layer 0 (linear_attention) loaded
2026-08-17 05:17:03.991 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 80, dfb size: 32, return value: 112 (dataflow_buffer.cpp:1695)
2026-08-17 05:17:03.991 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 0, dfb size: 0, return value: 0 (dataflow_buffer.cpp:1695)
2026-08-17 05:17:03.991 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 0, dfb size: 0, return value: 0 (dataflow_buffer.cpp:1695)
2026-08-17 05:17:07.833 | INFO     | models.autoports.ornith_ai_ornith_1_0_35b.tt.model:from_pretrained:646 -   layer 3 (full_attention) loaded
2026-08-17 05:17:07.902 | INFO     | models.autoports.ornith_ai_ornith_1_0_35b.tt.generator:build_generator:886 - model weights loaded in 12.2 s
2026-08-17 05:17:07.903 | warning  |              Op | ttnn::tilize: Using input shard spec for output tensor because the legacy sharded optimized program factory is being used (tilize_device_operation.cpp:248)
2026-08-17 05:17:07.909 | warning  |              Op | ttnn::tilize: Using input shard spec for output tensor because the legacy sharded optimized program factory is being used (tilize_device_operation.cpp:248)
2026-08-17 05:17:07.957 | INFO     | models.autoports.ornith_ai_ornith_1_0_35b.tt.multichip_decoder:allocate_state:1418 - layer 0 batch 1: ttnn.conv1d accepted 2/2 prefill block lengths [128, 256]
2026-08-17 05:17:07.958 | warning  |              Op | ttnn::tilize: Using input shard spec for output tensor because the legacy sharded optimized program factory is being used (tilize_device_operation.cpp:248)
2026-08-17 05:17:07.959 | warning  |              Op | ttnn::tilize: Using input shard spec for output tensor because the legacy sharded optimized program factory is being used (tilize_device_operation.cpp:248)
2026-08-17 05:17:07.959 | INFO     | models.autoports.ornith_ai_ornith_1_0_35b.tt.model:_share_fused_gate_buffers:807 - fused-router-gate buffers shared across 2 layers (row counts [32])
2026-08-17 05:17:07.972 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 80, dfb size: 32, return value: 112 (dataflow_buffer.cpp:1695)
2026-08-17 05:17:07.972 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 0, dfb size: 0, return value: 0 (dataflow_buffer.cpp:1695)
2026-08-17 05:17:07.972 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 0, dfb size: 0, return value: 0 (dataflow_buffer.cpp:1695)
2026-08-17 05:17:08.075 | INFO     | models.common.sampling.tt_sampling:_create_grouped_topk_tensors:437 - TTSampling: grouped local top-k enabled - 32 groups of 1952 over a 62464-wide vocabulary shard
2026-08-17 05:17:08.081 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 80, dfb size: 32, return value: 112 (dataflow_buffer.cpp:1695)
2026-08-17 05:17:08.081 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 0, dfb size: 0, return value: 0 (dataflow_buffer.cpp:1695)
2026-08-17 05:17:08.081 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 0, dfb size: 0, return value: 0 (dataflow_buffer.cpp:1695)
2026-08-17 05:17:09.115 | INFO     | models.autoports.ornith_ai_ornith_1_0_35b.tt.generator:_ensure_decode_trace:252 - compiling the state wipe before anything is captured
2026-08-17 05:17:09.115 | INFO     | models.autoports.ornith_ai_ornith_1_0_35b.tt.generator:_ensure_decode_trace:255 - warm-compiling the decode graph before trace capture
2026-08-17 05:17:09.172 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 80, dfb size: 32, return value: 112 (dataflow_buffer.cpp:1695)
2026-08-17 05:17:09.172 | info     |           Metal | Finalize dfb: dfb_offset == base_offset: 0, dfb size: 0, return value: 0 (dataflow_buffer.cpp:1695)
