phase,a1_base_us,a1_ops,candidate_us,candidate_ops,a2_base_us,a2_ops,median_base_us,candidate_delta_us,candidate_delta_percent,disposition
linear_prefill,5505.526,159,5635.236,159,5500.267,159,5502.8965,132.3395,2.405,rejected_slower
linear_traced_decode,2625.831,71,2873.108,94,2625.095,71,2625.463,247.645,9.432,rejected_slower
