sample,source_sha256,source_snapshot
A1_prefill,f0778a63a47a844621cffa3a251345333e563105cabf708e5abe0af0dbce3a14,base_source_snapshot.txt
A1_decode,f0778a63a47a844621cffa3a251345333e563105cabf708e5abe0af0dbce3a14,base_source_snapshot.txt
B_prefill,bed81f43e55ffd032f716b319dffd00d45b4af3ac76a691af69a36526beb33c8,candidate_source_snapshot.patch
B_decode,bed81f43e55ffd032f716b319dffd00d45b4af3ac76a691af69a36526beb33c8,candidate_source_snapshot.patch
A2_prefill,f0778a63a47a844621cffa3a251345333e563105cabf708e5abe0af0dbce3a14,base_source_snapshot.txt
A2_decode,f0778a63a47a844621cffa3a251345333e563105cabf708e5abe0af0dbce3a14,base_source_snapshot.txt
