# traced-replay cross-device divergence probe, router_mode=fused_gate, ccl_mode=all_reduce, auto_stack_sum=stack_sum_async, rounds=150 replays=256 blocking=False sync_every_replay=False
# columns: layer kind replay_pattern round max_abs_diff_vs_device0 first_bad_device n_differing_devices
REPLAYDIV 0 linear_attention burst 35 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 36 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 37 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 38 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 39 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 40 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 41 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 42 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 43 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 44 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 45 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 46 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 47 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 48 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 49 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 50 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 51 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 52 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 53 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 54 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 55 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 56 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 57 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 58 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 59 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 60 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 61 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 62 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 63 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 64 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 65 0.000000e+00 - 0
REPLAYDIV 0 linear_attention burst 66 0.000000e+00 - 0
