# whole-layer A/B on the 4-chip mesh; each arm built fresh, N builds per arm
# columns: knob arm layer kind build decode_ms prefill_ms finite
ABLAYER geometry single-chip-inherited 3 full_attention 2 0.465 28.16 True
ABLAYER sparse tp-rescaled 3 full_attention 0 0.453 28.26 True
ABLAYER sparse tp-rescaled 3 full_attention 1 0.453 28.45 True
ABLAYER sparse tp-rescaled 3 full_attention 2 0.453 28.91 True
ABLAYER sparse single-chip-inherited 3 full_attention 0 0.454 32.72 True
ABLAYER sparse single-chip-inherited 3 full_attention 1 0.453 33.10 True
ABLAYER sparse single-chip-inherited 3 full_attention 2 0.454 32.32 True
ABLAYER cast block-float 3 full_attention 0 0.453 28.26 True
ABLAYER cast block-float 3 full_attention 1 0.453 30.24 True
ABLAYER cast block-float 3 full_attention 2 0.453 28.09 True
ABLAYER cast bf16 3 full_attention 0 0.457 28.25 True
ABLAYER cast bf16 3 full_attention 1 0.457 28.44 True
ABLAYER cast bf16 3 full_attention 2 0.456 28.59 True
ABLAYER router_fidelity hifi4-inherited 3 full_attention 0 0.453 28.41 True
ABLAYER router_fidelity hifi4-inherited 3 full_attention 1 0.453 28.12 True
ABLAYER router_fidelity hifi4-inherited 3 full_attention 2 0.453 28.42 True
ABLAYER router_fidelity hifi2 3 full_attention 0 0.453 28.99 True
ABLAYER router_fidelity hifi2 3 full_attention 1 0.453 28.94 True
ABLAYER router_fidelity hifi2 3 full_attention 2 0.453 28.40 True
ABLAYER residual l1 3 full_attention 0 0.453 28.11 True
ABLAYER residual l1 3 full_attention 1 0.453 28.42 True
ABLAYER residual l1 3 full_attention 2 0.454 28.18 True
ABLAYER residual dram-interleaved-inherited 3 full_attention 0 0.453 28.84 True
ABLAYER residual dram-interleaved-inherited 3 full_attention 1 0.453 28.53 True
ABLAYER residual dram-interleaved-inherited 3 full_attention 2 0.453 29.01 True
