Detected CSV format: v2.1 (with device arch and worker core count)
Using user-specified architecture: blackhole (CSV detected blackhole)
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_DECODE_layer0_sliding_attention_seq1024_batch1'.
Using operations until 'PERF_DECODE_layer0_sliding_attention_seq1024_batch1_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 7049    0.0 %         InterleavedToShardedDeviceOperation                               3         1 μs          2 μs      1                                                       BF16 => BF16
 7051    0.0 %         InterleavedToShardedDeviceOperation                               3         1 μs          1 μs      1                                                       BF16 => BF16
 7055    0.0 %         PagedUpdateCacheDeviceOperation                                   3         4 μs          2 μs      1                                                 BF16, BF16 => BF16
 7058    0.0 %         InterleavedToShardedDeviceOperation                               3         1 μs          2 μs      1                                                       BF16 => BF16
 7063    0.0 %         ShardedToInterleavedDeviceOperation                               3         2 μs          1 μs      8                                                       BF16 => BF16
 7064    0.0 %         InterleavedToShardedDeviceOperation                               3         1 μs          1 μs     88                                                       BF16 => BF16
 7066    0.0 %         ShardedToInterleavedDeviceOperation                               3         1 μs          1 μs     88                                                       BF16 => BF16
 7068    0.0 %         InterleavedToShardedDeviceOperation                               3         2 μs          1 μs     22                                                       BF16 => BF16
 7074    0.0 %   SLOW  MatmulDeviceOperation 32 x 2816 x 1088                            3        13 μs          1 μs      8  230 GB/s  45.0 %  14.7 TFLOPs   33.3 %   LoFi BF16 x BFP8 => BF16
 7076    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs     17                                                       BF16 => BF16
 7077    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs     17                                                       BF16 => BF16
 7089    0.0 %   SLOW  MatmulDeviceOperation 32 x 2816 x 128                             3        38 μs          1 μs      4   48 GB/s   9.4 %   0.6 TFLOPs   11.0 %  HiFi4 FP32 x FP32 => FP32
 7092    0.0 %         TopKDeviceOperation                                               3        22 μs          2 μs      1                                                       BF16 => BF16
 7093    0.0 %         SliceDeviceOperation                                              3         1 μs          1 μs      1                                                       BF16 => BF16
 7104    0.0 %         SliceDeviceOperation                                              3         2 μs          1 μs     24                                                       BF16 => BF16
 7105    0.0 %         BinaryNgDeviceOperation                                           3         5 μs          0 μs    110                                                 BF16, BF16 => BF16
 7106    0.0 %         TransposeDeviceOperation                                          3         5 μs          0 μs    110                                                       BF16 => BF16
 7107    0.0 %         UnaryDeviceOperation                                              3        36 μs          0 μs    110                                                 BF16, BF16 => BF16
 7137    0.0 %         InterleavedToShardedDeviceOperation                               2         1 μs          1 μs      1                                                       BF16 => BF16
 7138    0.0 %         InterleavedToShardedDeviceOperation                               2         1 μs          1 μs      1                                                       BF16 => BF16
 7141    0.0 %         PagedUpdateCacheDeviceOperation                                   2         4 μs          2 μs      1                                                 BF16, BF16 => BF16
 7143    0.0 %         SdpaDecodeDeviceOperation                                         2        34 μs          4 μs     32                                                 BF16, BF16 => BF16
 7145    0.0 %         NLPConcatHeadsDecodeDeviceOperation                               2         1 μs          1 μs      4                                                       BF16 => BF16
 7153    0.0 %         SliceDeviceOperation                                              2         2 μs          1 μs     88                                                       BF16 => BF16
 7158    0.0 %         ShardedToInterleavedDeviceOperation                               2         1 μs          1 μs     22                                                       BF16 => BF16
 7159    0.0 %         InterleavedToShardedDeviceOperation                               2         2 μs          1 μs      2                                                       BF16 => BF16
 7161    0.0 %         ShardedToInterleavedDeviceOperation                               2         1 μs          1 μs      2                                                       BF16 => BF16
 7171    0.0 %         InterleavedToShardedDeviceOperation                               2         1 μs          1 μs     22                                                       BF16 => BF16
 7173    0.0 %         ShardedToInterleavedDeviceOperation                               2         2 μs          1 μs     22                                                       BF16 => BF16
 7174    0.0 %         TypecastDeviceOperation                                           2         2 μs          1 μs     88                                                       BF16 => FP32
 7178    0.0 %         TopKDeviceOperation                                               2        23 μs          2 μs      1                                                       BF16 => BF16
 7183    0.0 %         UntilizeWithUnpaddingDeviceOperation                              2         1 μs          1 μs      1                                                       BF16 => BF16
 7184    0.0 %         ScatterDeviceOperation                                            2         3 μs          2 μs      1                                               BF16, UINT16 => BF16
 7191    0.0 %         BinaryNgDeviceOperation                                           2         5 μs          0 μs    110                                                 BF16, BF16 => BF16
 7192    0.0 %         TransposeDeviceOperation                                          2         5 μs          0 μs    110                                                       BF16 => BF16
 7194    0.0 %   SLOW  SparseMatmulDeviceOperation active=8/128 x 32 x 192 x 2816        2        18 μs          0 μs     44  238 GB/s  46.5 %  15.2 TFLOPs    6.3 %   LoFi BF16 x BFP8 => BF16
 7198    0.0 %         BinaryNgDeviceOperation                                           2         5 μs          1 μs    110                                                 BF16, BF16 => BF16
 7200    0.0 %         InterleavedToShardedDeviceOperation                               2         1 μs          1 μs     88                                                       BF16 => BF16
 7202    0.0 %         ShardedToInterleavedDeviceOperation                               2         1 μs          1 μs     88                                                       BF16 => BF16
 7209   32.2 %         InterleavedToShardedDeviceOperation                               1         1 μs     47,972 μs     22                                                       BF16 => BF16
 7210    0.0 %         LayerNormDeviceOperation                                          1         6 μs          5 μs     22                                                 BF16, BF16 => BF16
 7213    0.0 %         NLPCreateQKVHeadsDecodeDeviceOperation                            1         8 μs          1 μs      1                                                       BF16 => BF16
 7214    0.0 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs      1                                                       BF16 => BF16
 7218    0.0 %         LayerNormDeviceOperation                                          1         5 μs          1 μs      1                                                 BF16, BF16 => BF16
 7226    0.0 %         RotaryEmbeddingHfDeviceOperation                                  1         3 μs          1 μs      1                                                 BF16, BF16 => BF16
 7230    0.0 %         InterleavedToShardedDeviceOperation                               1         1 μs          1 μs      1                                                       BF16 => BF16
 7240    0.0 %         InterleavedToShardedDeviceOperation                               1         2 μs          1 μs     22                                                       BF16 => BF16
 7242    0.0 %         BinaryNgDeviceOperation                                           1         1 μs          1 μs    110                                                 BF16, BF16 => BF16
 7251    0.0 %         InterleavedToShardedDeviceOperation                               1         1 μs          1 μs      1                                                       BF16 => BF16
 7253    0.0 %         ShardedToInterleavedDeviceOperation                               1         3 μs          1 μs      1                                                       BF16 => BF16
 7254    0.0 %         InterleavedToShardedDeviceOperation                               1         2 μs          1 μs     88                                                       BF16 => BF16
 7256    0.0 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs     88                                                       BF16 => BF16
