Detected CSV format: v2.1 (with device arch and worker core count)
Using user-specified architecture: blackhole (CSV detected blackhole)
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_DECODE_layer5_full_attention_seq1024_batch1'.
Using operations until 'PERF_DECODE_layer5_full_attention_seq1024_batch1_END'.
Detected data from 2 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 3246    0.0 %         RotaryEmbeddingHfDeviceOperation                                  1        28 μs          1 μs      8                                                 BF16, BF16 => BF16
 3250    0.0 %         TransposeDeviceOperation                                          1         2 μs          1 μs     16                                                       BF16 => BF16
 3256    0.0 %         InterleavedToShardedDeviceOperation                               1         1 μs          2 μs      1                                                       BF16 => BF16
 3257    0.0 %         NLPConcatHeadsDecodeDeviceOperation                               1         2 μs          1 μs      8                                                       BF16 => BF16
 3258    0.0 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs      8                                                       BF16 => BF16
 3260    0.1 %   FLOP  MatmulDeviceOperation 32 x 4096 x 2816                            1        48 μs          1 μs      8  239 GB/s  46.7 %  15.3 TFLOPs   69.1 %  HiFi2 BF16 x BFP8 => BF16
 3261    0.0 %         ShardedToInterleavedDeviceOperation                               1         2 μs          1 μs      8                                                       BF16 => BF16
 3262    0.0 %         InterleavedToShardedDeviceOperation                               1         1 μs          1 μs     88                                                       BF16 => BF16
 3264    0.0 %         CopyDeviceOperation                                               1         2 μs          1 μs     88                                                       BF16 => BF16
 3265    0.0 %         SliceDeviceOperation                                              1         2 μs          1 μs     88                                                       BF16 => BF16
 3267    0.0 %         BinaryNgDeviceOperation                                           1         1 μs          1 μs    110                                                 BF16, BF16 => BF16
 3269    0.0 %   SLOW  MatmulDeviceOperation 32 x 2816 x 1056                            1        21 μs          1 μs     22  285 GB/s  55.6 %   9.1 TFLOPs    7.5 %   LoFi BF16 x BF16 => BF16
 3273    0.0 %         CopyDeviceOperation                                               1         2 μs          1 μs     88                                                       BF16 => BF16
 3276    0.0 %         LayerNormDeviceOperation                                          1         6 μs          1 μs     22                                                 BF16, BF16 => BF16
 3277    0.0 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs     22                                                       BF16 => BF16
 3278    0.0 %         TypecastDeviceOperation                                           1         2 μs          1 μs     88                                                       BF16 => FP32
 3280    0.0 %         TypecastDeviceOperation                                           1         2 μs          1 μs      4                                                       FP32 => BF16
 3282    0.0 %         TopKDeviceOperation                                               1        22 μs          2 μs      1                                                       BF16 => BF16
 3284    0.0 %         SliceDeviceOperation                                              1         1 μs          1 μs      1                                                   UINT16 => UINT16
 3285    0.0 %         SoftmaxDeviceOperation                                            1         6 μs          1 μs      1                                                       BF16 => BF16
 3286    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1         1 μs          1 μs      1                                                   UINT16 => UINT16
 3287    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1         1 μs          1 μs      1                                                       BF16 => BF16
 3288    0.0 %         ScatterDeviceOperation                                            1         3 μs          2 μs      1                                               BF16, UINT16 => BF16
 3290    0.0 %         ShardedToInterleavedDeviceOperation                               1         2 μs          1 μs     22                                                       BF16 => BF16
 3294    0.0 %         SliceDeviceOperation                                              1         2 μs          1 μs     88                                                       BF16 => BF16
 3295    0.0 %         BinaryNgDeviceOperation                                           1         5 μs          1 μs    110                                                 BF16, BF16 => BF16
 3296    0.0 %         UnaryDeviceOperation                                              1         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 3298    0.0 %         PermuteDeviceOperation                                            1         4 μs          1 μs      8                                                       BF16 => BF16
 3299    0.0 %         BinaryNgDeviceOperation                                           1         7 μs          1 μs    110                                                 BF16, BF16 => BF16
 3300    0.0 %         FillPadDeviceOperation                                            1         7 μs          1 μs    110                                                       BF16 => BF16
 3302    0.0 %         SliceDeviceOperation                                              1         2 μs          1 μs     88                                                       BF16 => BF16
 3303    0.0 %         InterleavedToShardedDeviceOperation                               1         1 μs          0 μs     88                                                       BF16 => BF16
 3306    0.0 %         LayerNormDeviceOperation                                          1         6 μs          1 μs     22                                                 BF16, BF16 => BF16
