Detected CSV format: v2.1 (with device arch and worker core count)
Using user-specified architecture: blackhole (CSV detected blackhole)
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_PREFILL_layer5_full_attention_seq1024_batch1'.
Using operations until 'PERF_PREFILL_layer5_full_attention_seq1024_batch1_END'.
Detected data from 2 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1338    0.1 %         LayerNormDeviceOperation                                          0        48 μs                   32                                                  BF16, BF16 => BF16
 1340    0.4 %   FLOP  MatmulDeviceOperation 1024 x 2816 x 5120                          0       176 μs         81 μs     88  174 GB/s  34.1 %  167.9 TFLOPs   69.0 %  HiFi2 BF16 x BFP8 => BF16
 1341    0.1 %         NlpCreateHeadsDeviceOperation                                     1        74 μs          1 μs     32                                                        BF16 => BF16
 1343    0.1 %         LayerNormDeviceOperation                                          1        53 μs          0 μs    110                                                  BF16, BF16 => BF16
 1346    0.0 %         LayerNormDeviceOperation                                          0        10 μs          1 μs     32                                                  BF16, BF16 => BF16
 1348    0.0 %         LayerNormDeviceOperation                                          0        10 μs          1 μs     32                                                        BF16 => BF16
 1350    0.3 %         RotaryEmbeddingHfDeviceOperation                                  0       145 μs          1 μs    110                                                  BF16, BF16 => BF16
 1351    0.1 %         RotaryEmbeddingHfDeviceOperation                                  1        37 μs          1 μs     32                                                  BF16, BF16 => BF16
 1353    0.0 %         PagedFillCacheDeviceOperation                                     1         6 μs          0 μs     32                                                  BF16, BF16 => BF16
 1356    0.0 %         PagedFillCacheDeviceOperation                                     0         6 μs          1 μs     32                                                  BF16, BF16 => BF16
 1358    1.5 %         SDPAOperation                                                     0       860 μs          1 μs    110                                                  BF16, BF16 => BF16
 1359    0.1 %         NLPConcatHeadsDeviceOperation                                     1        60 μs          1 μs     32                                                        BF16 => BF16
 1361    0.3 %   SLOW  MatmulDeviceOperation 1024 x 4096 x 2816                          1       180 μs          0 μs     88  143 GB/s  27.9 %  131.4 TFLOPs   54.0 %  HiFi2 BF16 x BFP8 => BF16
 1363    0.3 %         ReduceScatterDeviceOperation                                      0       164 μs          1 μs      9                                                        BF16 => BF16
 1365    0.1 %         AllGatherDeviceOperation                                          0        75 μs          1 μs     10                                                        BF16 => BF16
 1368    0.1 %         LayerNormDeviceOperation                                          0        49 μs          1 μs     32                                                  BF16, BF16 => BF16
 1370    0.1 %         BinaryNgDeviceOperation                                           0        41 μs          1 μs    110                                                  BF16, BF16 => BF16
