# DENSE decode program-config sweep, per-device TP=4 shapes. grid 11x10
# columns: role M K N family cores in0_block_w per_core_N us spread
# --- attn_in M=32 K=2048 N=2560 weight=bfloat8_b fidelity=HiFi2 single_chip=(2048, 9216)
DENSE o_proj 32 1024 2048 mcast1d 33 4 2 11.22 0.06
DENSE o_proj 32 1024 2048 mcast1d 33 8 2 9.36 0.20
DENSE o_proj 32 1024 2048 mcast1d 33 16 2 9.35 0.33
DENSE o_proj 32 1024 2048 mcast1d 33 32 2 9.66 0.26
DENSE o_proj 32 1024 2048 mcast1d 55 1 2 30.15 2.04
DENSE o_proj 32 1024 2048 mcast1d 55 2 2 17.46 0.07
DENSE o_proj 32 1024 2048 mcast1d 55 4 2 11.36 0.11
DENSE o_proj 32 1024 2048 mcast1d 55 8 2 9.35 0.29
DENSE o_proj 32 1024 2048 mcast1d 55 16 2 9.31 0.62
DENSE o_proj 32 1024 2048 mcast1d 55 32 2 9.67 0.10
DENSE o_proj 32 1024 2048 mcast1d 66 1 1 37.63 0.11
DENSE o_proj 32 1024 2048 mcast1d 66 2 1 20.81 0.06
DENSE o_proj 32 1024 2048 mcast1d 66 4 1 12.68 0.10
DENSE o_proj 32 1024 2048 mcast1d 66 8 1 10.22 0.32
DENSE o_proj 32 1024 2048 mcast1d 66 16 1 10.60 0.26
DENSE o_proj 32 1024 2048 mcast1d 66 32 1 11.47 0.02
DENSE o_proj 32 1024 2048 mcast1d 88 1 1 37.66 0.08
DENSE o_proj 32 1024 2048 mcast1d 88 2 1 20.80 0.15
DENSE o_proj 32 1024 2048 mcast1d 88 4 1 12.67 0.05
DENSE o_proj 32 1024 2048 mcast1d 88 8 1 9.98 0.25
DENSE o_proj 32 1024 2048 mcast1d 88 16 1 10.65 0.19
DENSE o_proj 32 1024 2048 mcast1d 88 32 1 11.28 0.10
DENSE o_proj 32 1024 2048 mcast1d 110 1 1 37.54 0.14
DENSE o_proj 32 1024 2048 mcast1d 110 2 1 20.97 0.14
DENSE o_proj 32 1024 2048 mcast1d 110 4 1 13.92 0.83
DENSE o_proj 32 1024 2048 mcast1d 110 8 1 10.54 3.50
DENSE o_proj 32 1024 2048 mcast1d 110 16 1 10.55 0.20
DENSE o_proj 32 1024 2048 mcast1d 110 32 1 11.28 0.06
# --- gdn_in M=32 K=2048 N=3136 weight=bfloat8_b fidelity=HiFi2 single_chip=(2048, 12352)
