# CCL sweep, 4 devices, FABRIC_1D_RING, num_links=2, max_payload=8192 B
# columns: shape arm mode us correct_pcc
CCL decode_b32 rs_ag_linear trace 156.60 0.999997
CCL decode_b32 rs_only_linear eager 99.35 0.999997
CCL decode_b32 rs_only_linear trace 98.10 0.999997
CCL decode_b32 ag_stack_sum eager 194.63 0.999998
CCL decode_b32 ag_stack_sum trace 194.00 0.999998
CCL decode_b32 all_reduce_async eager 179.99 0.999997
CCL decode_b32 all_reduce_async trace 177.84 0.999997
CCL decode_b32 all_reduce_async_l1 eager 175.25 0.999997
CCL decode_b32 all_reduce_async_l1 trace 173.75 0.999997
CCL prefill_2048 all_reduce_ring eager 182.00 0.999998
CCL prefill_2048 all_reduce_ring trace 179.91 0.999998
CCL prefill_2048 rs_ag_ring eager 181.02 0.999998
CCL prefill_2048 rs_ag_ring trace 180.07 0.999998
CCL prefill_2048 rs_only_ring eager 107.44 0.999998
CCL prefill_2048 rs_only_ring trace 102.35 0.999998
CCL prefill_2048 all_reduce_linear eager 252.72 0.999997
CCL prefill_2048 all_reduce_linear trace 250.68 0.999997
CCL prefill_2048 rs_ag_linear eager 251.52 0.999997
CCL prefill_2048 rs_ag_linear trace 250.28 0.999997
CCL prefill_2048 rs_only_linear eager 177.44 0.999997
CCL prefill_2048 rs_only_linear trace 175.67 0.999997
CCL prefill_2048 ag_stack_sum eager 373.79 0.999998
CCL prefill_2048 ag_stack_sum trace 373.16 0.999998
CCL prefill_2048 all_reduce_async eager 327.36 0.999997
CCL prefill_2048 all_reduce_async trace 325.00 0.999997
CCL prefill_2048 all_reduce_async_l1 eager 315.13 0.999997
CCL prefill_2048 all_reduce_async_l1 trace 314.26 0.999997
# CCL sweep, 4 devices, FABRIC_1D, num_links=2, max_payload=8192 B
# columns: fabric shape arm mode us correct_pcc
CCLFAB line decode all_reduce_ring eager 158.12 0.999998
CCLFAB line decode all_reduce_ring trace 22.47 0.999998
CCLFAB line decode rs_ag_ring eager 123.50 0.999998
CCLFAB line decode rs_ag_ring trace 22.47 0.999998
CCLFAB line decode rs_only_ring eager 60.06 0.999998
CCLFAB line decode rs_only_ring trace 14.35 0.999998
CCLFAB line decode all_reduce_linear eager 133.12 0.999997
CCLFAB line decode all_reduce_linear trace 25.10 0.999997
CCLFAB line decode rs_ag_linear eager 122.35 0.999997
CCLFAB line decode rs_ag_linear trace 25.02 0.999997
CCLFAB line decode rs_only_linear eager 63.10 0.999997
CCLFAB line decode rs_only_linear trace 17.14 0.999997
CCLFAB line decode ag_stack_sum eager 72.87 0.999998
CCLFAB line decode ag_stack_sum trace 18.12 0.999998
CCLFAB line decode all_reduce_async eager 134.18 0.999997
CCLFAB line decode all_reduce_async trace 32.17 0.999997
CCLFAB line decode all_reduce_async_l1 eager 125.45 0.999997
CCLFAB line decode all_reduce_async_l1 trace 31.84 0.999997
CCLFAB line rows64 all_reduce_ring eager 129.51 0.999998
CCLFAB line rows64 all_reduce_ring trace 26.65 0.999998
CCLFAB line rows64 rs_ag_ring eager 134.42 0.999998
CCLFAB line rows64 rs_ag_ring trace 26.67 0.999998
CCLFAB line rows64 rs_only_ring eager 65.61 0.999998
CCLFAB line rows64 rs_only_ring trace 16.13 0.999998
CCLFAB line rows64 all_reduce_linear eager 132.00 0.999997
CCLFAB line rows64 all_reduce_linear trace 30.79 0.999997
CCLFAB line rows64 rs_ag_linear eager 129.71 0.999997
CCLFAB line rows64 rs_ag_linear trace 30.79 0.999997
CCLFAB line rows64 rs_only_linear eager 61.71 0.999997
CCLFAB line rows64 rs_only_linear trace 20.24 0.999997
CCLFAB line rows64 ag_stack_sum eager 66.54 0.999998
CCLFAB line rows64 ag_stack_sum trace 26.89 0.999998
CCLFAB line rows64 all_reduce_async eager 129.22 0.999997
CCLFAB line rows64 all_reduce_async trace 37.78 0.999997
CCLFAB line rows64 all_reduce_async_l1 eager 124.80 0.999997
CCLFAB line rows64 all_reduce_async_l1 trace 37.34 0.999997
CCLFAB line rows96 all_reduce_ring eager 119.63 0.999998
CCLFAB line rows96 all_reduce_ring trace 28.79 0.999998
