layer_kind,layer_idx,mesh,weight_mode,prefill_seq,decode_replays,repeats,prefill_pcc,decode_pcc,baseline_prefill_ms,host_prefill_ms,baseline_traced_decode_ms,host_segmented_decode_ms,host_decode_p50_ms,ple_ms,front_trace_ms,expert_service_ms,back_trace_ms,expert_requests_cumulative,expert_hits_cumulative,expert_misses_cumulative,expert_h2d_bytes_cumulative,source_xml
gdn,0,1x2,exact-host-ep2,33,100,7,0.99942303,0.99996978,17.569880,2065.630386,1.106369,3.427797,1.531276,0.000000,1.021948,1.993810,0.406595,137,893,469,2593382400,baseline_perf_count7.xml
gdn_ple,1,1x2,exact-host-ep2-ple-mmap,33,100,7,0.99949104,0.99984211,20.041765,1526.015021,1.483848,4.118693,2.735658,0.330255,1.519206,1.857334,0.407139,129,906,372,2057011200,baseline_perf_count7.xml
qsa,3,1x2,exact-host-ep2,33,100,7,0.99972457,0.99988294,43.727286,1969.037359,2.861609,3.059096,3.040225,0.000000,2.565303,0.077788,0.408305,135,1040,304,1680998400,baseline_perf_count7.xml
